Category|Command|Endpoint_Payload|Expected_Response
Management|Get App State|/1/command command=iscope_get_app_state|Async JSON
Management|Get Event State|/1/command command=get_event_state|Async JSON
Actions|Scope Move to Horizon|/1/command command=scope_move_to_horizon|Sent command async...
Actions|Scope Park|/1/command command=scope_park|Sent command async...
Custom|Get Focuser Position|/1/command command=get_focuser_position|Async JSON
Custom|Stop Continuous Exposure|/1/command command=iscope_stop_view|{'command': 'iscope_stop_view', 'status': 'success', 'result': 0}
Utility|Scope Reboot (BOFH)|/1/command command=pi_reboot|Sent command async...
Imaging|Start Imaging|/1/command command=iscope_start_stack|Sent command async...
Imaging|Stop Imaging|/1/command command=iscope_stop_view|{'command': 'iscope_stop_view', 'status': 'success', 'result': 0}
Imaging|Get View State|/1/command command=get_view_state|Async JSON
Imaging|Get Stack Info|/1/command command=get_stack_info|Async JSON
Imaging|Get Camera State|/1/command command=get_camera_state|Async JSON
Imaging|Get Camera Exposure & Bin|/1/command command=get_camera_exp_and_bin|Async JSON
Goto|Start Goto RA/Dec|/1/command command=scope_goto_ra_dec|Sent command async...
Goto|Start Goto Alt/Az|/1/command command=scope_goto_alt_az|Sent command async...
Goto|Abort Slew|/1/command command=scope_abort_slew|{'status': 'success'}
Alignment|Sync to RA/Dec|/1/command command=scope_sync|{'status': 'success'}
Alignment|Start Plate Solve|/1/command command=start_solve|Sent command async...
Alignment|Get Solve Result|/1/command command=get_solve_result|Async JSON (RA/Dec/Angle)
Alignment|Get Last Solve Result|/1/command command=get_last_solve_result|Async JSON
